112,Julian Day,,Shot 1,,,,,,,,,,,,,,,,,,,,,,,,
1972,Year,,G1,G2,G3,,,,,,,,,,,,,,,,,,,,,,
2001,GMT hhmm,,,,,,,,,,,,,,,,,,,,order,shot-geophone,distance,time,,shot,time
,90.55896,,6.80E-02,-2.30E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,92.445605,,3.80E-02,-2.30E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,94.33225,,2.10E-02,-4.10E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,96.218895,,6.50E-03,-4.10E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,98.10554,,-6.50E-03,-4.10E-02,-1.20E+00,,,,,,,,,,,,,,,,,,,,,,
,99.992185,,-1.20E-02,-4.10E-02,-6.60E-01,,,,,,,,,,,,,,,,,,,,,,
,101.87883,,-2.10E-02,-4.10E-02,-6.60E-01,,,,,,,,,,,,,,,,,,,,,,
,103.765475,,-2.10E-02,-4.10E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,105.65212,,-1.20E-02,-4.10E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,107.538765,,-2.10E-02,-4.10E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,109.42541,,-2.10E-02,-4.10E-02,2.30E-01,,,,,,,,,,,,,,,,,,,,,,
,111.312055,,-3.80E-02,-4.10E-02,4.10E-01,,,,,,,,,,,,,,,,,,,,,,
,113.1987,,-3.80E-02,-4.10E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,115.085345,,-3.80E-02,-4.10E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,116.97199,,-3.80E-02,-4.10E-02,7.30E-01,,,,,,,,,,,,,,,,,,,,,,
,118.858635,,-2.10E-02,-4.10E-02,7.30E-01,,,,,,,,,,,,,,,,,,,,,,
,120.74528,,-1.20E-02,-4.10E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,122.631925,,-6.50E-03,-4.10E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,124.51857,,-4.70E-04,-4.10E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,126.405215,,6.50E-03,-4.10E-02,4.10E-01,,,,,,,,,,,,,,,,,,,,,,
,128.29186,,6.50E-03,-4.10E-02,-1.20E+00,,,,,,,,,,,,,,,,,,,,,,
,130.178505,,6.50E-03,-4.10E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,132.06515,,3.60E-03,-4.10E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,133.951795,,-1.10E-03,-4.10E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,135.83844,,-2.00E-03,-4.10E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,137.725085,,6.50E-03,-4.10E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,139.61173,,3.80E-02,-2.30E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,141.498375,,6.80E-02,-2.30E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,143.38502,,6.80E-02,-1.30E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,145.271665,,1.20E-01,-1.30E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,147.15831,,1.20E-01,-7.20E-03,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,149.044955,,1.20E-01,-1.20E-03,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,150.9316,,1.20E-01,3.80E-03,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,152.818245,,1.20E-01,1.20E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,154.70489,,6.80E-02,2.20E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,156.591535,,6.80E-02,2.20E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,158.47818,,3.80E-02,3.90E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,160.364825,,6.50E-03,3.90E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,162.25147,,-1.20E-02,3.90E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,164.138115,,-3.80E-02,3.90E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,166.02476,,-3.80E-02,7.00E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,167.911405,,-3.80E-02,7.00E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,169.79805,,-6.80E-02,7.00E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,171.684695,,-6.80E-02,7.00E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,173.57134,,-6.80E-02,7.00E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,175.457985,,-6.80E-02,7.00E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,177.34463,,-6.80E-02,7.00E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
